"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"flw5",6.91092353331854,20.3225806451613,"flw","5",1.1147858176537
"Men5",8.01819127579589,12.9032258064516,"Men","5",0.176755644462189
"Cpr49Ae5",0.511148453306407,0.967741935483871,"Cpr49Ae","5",-0.379250004788728
"CG400065",3.32157315557337,12.258064516129,"CG40006","5",1.70817583343516
"Cys5",5.93141763057717,6.12903225806452,"Cys","5",-0.299719946957465
"CLIP-1905",30.9219565912317,43.2258064516129,"CLIP-190","5",1.10887465120518
"DIP-alpha5",53.6731640288115,33.8709677419355,"DIP-alpha","5",0.904946030848047
"CG59535",4.38833592213844,16.1290322580645,"CG5953","5",1.45511084899808
"dally5",2.05162233221581,8.70967741935484,"dally","5",0.273237215899951
"CG12135",8.23501887729103,15.1612903225806,"CG1213","5",1.60843175378129
"Cip45",4.03083368543824,10.3225806451613,"Cip4","5",-0.0668892203900322
"RapGAP15",2.64106844472296,6.45161290322581,"RapGAP1","5",-0.295378276220879
"apolpp6",27.9793823919178,16.0130718954248,"apolpp","6",-0.705359865889449
"GEFmeso6",2.09447733908957,13.0718954248366,"GEFmeso","6",0.149124229797478
"CG313136",2.29494050439731,2.61437908496732,"CG31313","6",-0.470857520551089
"mgl6",0.592890961244568,1.96078431372549,"mgl","6",-0.382761517237172
"tyf6",1.401039602925,6.20915032679739,"tyf","6",-0.254835686817702
"dnc6",4.12684676211578,8.49673202614379,"dnc","6",-1.11044550780002
"shi6",0.995380030246035,5.22875816993464,"shi","6",-0.463179554455697
"Prat26",0.706409284956275,1.96078431372549,"Prat2","6",-0.619676343432882
"flw6",0.3413960140804,1.63398692810458,"flw","6",-1.23835852825443
"Men6",12.6878461500684,25.4901960784314,"Men","6",1.16694661574281
"Cpr49Ae6",0.596754985083937,1.96078431372549,"Cpr49Ae","6",-0.360993758031495
"CG400066",0.446059628712234,2.28758169934641,"CG40006","6",-0.773957830819211
"Cys6",2.46161251236263,3.59477124183007,"Cys","6",-0.45829523365207
"CLIP-1906",12.448603530698,24.1830065359477,"CLIP-190","6",-0.44506906050287
"DIP-alpha6",25.8086955319199,17.3202614379085,"DIP-alpha","6",-0.631874070203942
"CG59536",1.06013262488801,7.18954248366013,"CG5953","6",-0.670341878973121
"dally6",0.62689014284071,4.2483660130719,"dally","6",-0.929408901187273
"CG12136",0.858514497375216,2.28758169934641,"CG1213","6",-0.958942162628274
"Cip46",1.36237329905192,5.55555555555556,"Cip4","6",-0.814423036794029
"RapGAP16",0.791811516565947,4.2483660130719,"RapGAP1","6",-0.471855928192081
"apolpp7",45.1253499577589,19.7026022304833,"apolpp","7",-0.555439099443085
"GEFmeso7",1.08011571071201,5.20446096654275,"GEFmeso","7",-0.340593054408124
"CG313137",28.3282879149503,25.2788104089219,"CG31313","7",0.430338722944421
"mgl7",4.03381695592159,12.639405204461,"mgl","7",-0.198960574064481
"tyf7",1.4764262779212,5.94795539033457,"tyf","7",-0.178142930145069
"dnc7",54.3546324264454,68.0297397769517,"dnc","7",1.51497765005705
"shi7",1.27520047928059,5.94795539033457,"shi","7",-0.396586692960395
"Prat27",1.12238193821998,2.23048327137546,"Prat2","7",-0.467682715120835
"flw7",6.65423745963679,20.0743494423792,"flw","7",1.0228432264721
"Men7",2.32778352475276,4.08921933085502,"Men","7",-1.02988393162982
"Cpr49Ae7",4.38025949366458,10.7806691449814,"Cpr49Ae","7",0.445867476520728
"CG400067",1.55666496160263,6.69144981412639,"CG40006","7",0.184712980052199
"Cys7",21.3680950307942,23.0483271375465,"Cys","7",0.405759312238261
"CLIP-1907",11.4001775688233,17.4721189591078,"CLIP-190","7",-0.533260680362467
"DIP-alpha7",24.6444415290441,18.5873605947955,"DIP-alpha","7",-0.696086633761341
"CG59537",1.86089361025777,8.92193308550186,"CG5953","7",-0.158960971979507
"dally7",1.55788354276331,7.80669144981413,"dally","7",-0.143537980462276
"CG12137",5.13711594029538,8.92193308550186,"CG1213","7",0.530214377856411
"Cip47",5.1111122643688,17.1003717472119,"Cip4","7",0.235736508291307
"RapGAP17",5.33496338795022,17.4721189591078,"RapGAP1","7",-0.0382954193181112
"apolpp8",36.0992963110525,16.6666666666667,"apolpp","8",-0.634361031116169
"GEFmeso8",1.23261371001219,6.94444444444444,"GEFmeso","8",-0.266969502437292
"CG313138",14.2199222647035,14.5833333333333,"CG31313","8",-0.0580504928315534
"mgl8",7.7795012410457,18.75,"mgl","8",0.00111937694230045
"tyf8",0.435954470175647,2.08333333333333,"tyf","8",-1.23664101591667
"dnc8",9.59134383551185,17.3611111111111,"dnc","8",-0.824814417900613
